,id,x,y,z,x_new,y_new,z_new,distance2Dcenter,layer,EI,mtype,info
13229,78818797164,1920808,2221776,129621,1464.942783026013,966.9862983563961,129.621,367.74281672514616,6,excitatory,L6E,L6pyramidalneuron
13230,69575066422,1955248,2202168,129621,1473.7161458781434,1005.6336186809007,129.621,376.4509291530392,6,excitatory,L6E,L6neuronexcitatory/spiny-with-atypical-tree
13231,43007319748,1948728,2182152,146517,1454.5455215983416,1014.3306193548501,146.517,359.9584978146761,6,excitatory,L6E,L6pyramidalneuron
13232,78688031403,1976776,2185496,133845,1475.9420794218122,1032.7713339100642,133.845,379.18923658974717,6,excitatory,L6E,L6neuronexcitatory/spiny-with-atypical-tree
13233,42760707895,1995784,2157368,146517,1468.0135842626657,1065.7808387914067,146.517,373.2312841461877,6,excitatory,L6E,L6pyramidalneuron
13234,33882235764,1931872,2153376,159189,1421.9351026515199,1021.3122730352313,159.189,330.5246223034551,6,excitatory,L6E,L6pyramidalneuron
13235,6035046484,2553304,1992272,3930,1722.4408003728283,1588.611625297359,3.93,627.6115289290173,5,excitatory,L5E,L5neuronexcitatory/spiny-with-atypical-treesparsely-spiny
13236,6327241569,2599832,1972016,3840,1738.8938818842207,1636.6163795283671,3.84,643.9437499883394,4,excitatory,L4E,L4pyramidalneuron
13237,6400203611,2580928,1961512,7680,1718.3847993936945,1629.755419872693,7.68,623.1167837781263,4,excitatory,L4E,L4pyramidalneuron
13238,6311794442,2617136,1985624,11520,1760.6137021345583,1640.2018346310042,11.52,664.613666740012,4,excitatory,L4E,L4pyramidalneuron
13239,7127581259,2625064,1972360,19200,1756.1761954540007,1655.0037066227494,19.2,659.4002794811998,4,excitatory,L4E,L4pyramidalneuron
13240,6880751987,2607632,1993136,15360,1759.7430233706189,1628.1188681703197,15.36,663.3380036759105,4,excitatory,L4E,L4pyramidalneuron
13241,6575211001,2654632,1944648,15360,1755.6813677715888,1695.5250184668234,15.36,659.2984955825083,4,excitatory,L4E,L4pyramidalneuron
13242,6313196601,2668424,1948936,7680,1768.1535039738112,1702.8087006779865,7.68,672.5354049990962,4,excitatory,L4E,L4pyramidalneuron
13243,7055072595,2694016,1959200,7680,1792.9990520186277,1714.766915526061,7.68,697.2248218498344,4,excitatory,L4E,L4neuronunclassified-neuron
13244,7098671959,2673056,1975976,3840,1791.2331927692746,1687.9781582366406,3.84,695.9033608382426,4,excitatory,L4E,L4neuronunclassified-neuron
13245,7171311758,2643296,1987120,7680,1779.372397349203,1658.4965051621741,7.68,683.682397305079,4,excitatory,L4E,L4pyramidalneuron
13246,7069440678,2663304,1965168,3840,1776.676242098103,1688.0759087204265,3.84,681.446180897631,4,excitatory,L4E,L4neuronexcitatory/spiny-with-atypical-tree
13247,6851373777,2655680,1972560,3840,1776.9857779985646,1677.4612383286374,3.84,681.7535511108674,4,excitatory,L4E,L4neuronexcitatory/spiny-with-atypical-tree
13248,6312187937,2694232,1972600,3840,1803.0331055556767,1705.8829735172658,3.84,707.6254011461259,4,excitatory,L4E,L4neuronexcitatory/spiny-with-atypical-tree
13249,6443114704,2674472,1936136,3840,1762.7896310205144,1715.9101193393717,3.84,667.6587869774996,4,excitatory,L4E,L4neuronexcitatory/spiny-with-atypical-tree
13250,15615113460,2864848,1868640,53760,1841.4623628954039,1901.9459563475723,53.76,742.0921630589935,3,inhibitory,L23I,L3neuroninterneuron
13251,6007493855,2872584,1824368,3840,1814.0135041135352,1937.5326930843544,3.84,718.5356253495339,3,excitatory,L23E,L3pyramidalneuron
13252,6357377650,3036376,1833752,38400,1931.477502593624,2052.0669140886885,38.4,832.7449361857621,3,inhibitory,L23I,L3neuroninterneuron
13253,6445509418,3080552,1868848,46080,1987.1892535710076,2060.9803306633808,46.08,888.0132917953994,3,excitatory,L23E,L3pyramidalneuron
13254,6663560860,3060424,1861336,57813,1968.062013812515,2051.1969147353348,57.813,868.4668406044784,3,excitatory,L23E,L3pyramidalneuron
13255,33113960484,3053672,1846776,57813,1952.7609719171526,2056.040593184238,57.813,853.1730590157969,3,inhibitory,L23I,L3neuroninterneuron
13256,33041495648,3081832,1833392,57813,1961.888999849824,2085.8532777674886,57.813,862.2967247226534,3,excitatory,L23E,L3pyramidalneuron
13257,6532545816,3129872,1905608,34560,2047.6004832597248,2072.566672946304,34.56,948.9064402947755,3,excitatory,L23E,L3pyramidalneuron
13258,6271203548,3004488,1861088,3840,1930.1291563171335,2010.0873547494255,3.84,834.0219283734403,3,inhibitory,L23I,L3neuroninterneuron
13259,6343055179,3060920,1946088,3840,2030.937911753822,1994.3658582778455,3.84,934.4108070760543,3,excitatory,L23E,L3pyramidalneuron
13260,6998215529,3024120,1945096,3840,2005.3704558630584,1967.8794605749895,3.84,908.9410449471618,3,inhibitory,L23I,L3neuroninterneuron
13261,6402422044,3199456,1824056,38400,2034.381258971764,2178.952357458952,38.4,935.5092883244707,3,inhibitory,L23I,L3neuroninterneuron
13262,51006156644,3389320,1903176,91605,2220.901000364155,2265.6627891665353,91.605,1120.9246279609613,2,excitatory,L23E,L2pyramidalneuron
13263,51064458447,3363312,1922296,83157,2217.458079411844,2233.567045534145,83.157,1117.4586919417518,3,excitatory,L23E,L3pyramidalneuron
13264,51151495222,3332736,1938552,78933,2208.8188905406687,2200.033275575368,78.933,1108.832010496566,3,excitatory,L23E,L3pyramidalneuron
13265,41805862648,3346408,1924112,83157,2207.3900629335353,2219.867479256612,83.157,1107.3906810323547,3,inhibitory,L23I,L3neuroninterneuron
13266,51006259215,3415352,1903216,87381,2238.4988834051746,2284.8456235888675,87.381,1138.5029794829431,2,excitatory,L23E,L2pyramidalneuron
13267,50977115720,3406720,1901688,91605,2231.5457967091834,2279.507010154835,91.605,1131.5692020386014,2,inhibitory,L23I,L2neuroninterneuron
13268,50889903035,3438584,1888184,87381,2243.0850126926257,2312.1339776278846,87.381,1143.0890923367301,2,excitatory,L23E,L2pyramidalneuron
13269,42315596546,3412176,1941168,83157,2264.3614493875534,2256.889068707997,83.157,1164.3620372432483,2,excitatory,L23E,L2pyramidalneuron
13270,59958948851,3418216,1928320,91605,2258.9567567223635,2270.016977954897,91.605,1158.9796084938148,2,excitatory,L23E,L2pyramidalneuron
