,id,x,y,z,x_new,y_new,z_new,distance2Dcenter,layer,EI,mtype,info
10724,57454600029,3318016,1415832,116949,1813.15323304582,2541.941983097082,116.949,713.9214359518634,2,excitatory,L23E,L2pyramidalneuron
10725,40248009034,3318736,1426968,121173,1821.8567473417518,2534.9578772201276,121.173,722.8215571117717,2,excitatory,L23E,L2pyramidalneuron
10726,39636270947,3325792,1423432,121173,1824.00934537657,2542.551081662292,121.173,724.9712904214083,2,excitatory,L23E,L2neuronexcitatory/spiny-with-atypical-tree
10727,48953168203,3324440,1424568,108501,1823.9352033865343,2540.78673958511,108.501,724.3551621936253,2,excitatory,L23E,L2neuronexcitatory/spiny-with-atypical-tree
10728,57804294565,3341352,1446696,112725,1851.6776476207806,2538.3329841144646,112.725,752.2324749422669,2,excitatory,L23E,L2neuronexcitatory/spiny-with-atypical-tree
10729,48938625604,3329816,1465744,100053,1857.9483976095014,2516.965174339503,100.053,758.1218058646293,2,excitatory,L23E,L2pyramidalneuron
10730,49389986333,3318592,1468008,108501,1852.0442687026539,2507.154713909363,108.501,752.4485393585134,2,excitatory,L23E,L2pyramidalneuron
10731,40466162602,3339720,1469312,100053,1867.2653062693676,2521.8656899270413,100.053,767.436609299597,2,excitatory,L23E,L2pyramidalneuron
10732,49360828575,3311616,1491392,112725,1864.5921225824327,2486.225609890994,112.725,765.1375852356016,2,excitatory,L23E,L2pyramidalneuron
10733,5078185144,3296312,1481880,108501,1847.2446207483038,2481.3517264173247,108.501,747.6514866778016,2,excitatory,L23E,L2pyramidalneuron
10734,57803855914,3304232,1481840,104277,1852.5601195132238,2487.2231379069185,104.277,752.8376000155682,2,inhibitory,L23I,L2neuroninterneuron
10735,57775282687,3305800,1500784,95829,1867.597696599323,2475.595367898029,95.829,767.6913363054286,2,inhibitory,L23I,L2neuroninterneuron
10736,49550072457,3313904,1505584,95829,1876.6089603402681,2478.3361600811622,95.829,776.7015136425453,2,excitatory,L23E,L2pyramidalneuron
10737,5252564458,3298472,1517984,87381,1875.3446266126118,2458.5799437373084,87.381,775.3527177596428,2,excitatory,L23E,L2pyramidalneuron
10738,40466176781,3285160,1518968,91605,1867.0868049637152,2448.0925235771833,91.605,767.1261171674852,2,excitatory,L23E,L2pyramidalneuron
10739,40902761567,3270352,1526344,91605,1862.5362265018869,2432.1873522275014,91.605,762.5757732965023,2,inhibitory,L23I,L2neuroninterneuron
10740,49520899244,3288944,1540600,87381,1885.6034662596758,2436.285943443602,87.381,785.6114517491656,2,inhibitory,L23I,L2neuroninterneuron
10741,5018627299,3250112,1504024,87381,1832.4061129148702,2432.3148482410265,87.381,732.4146784133178,2,excitatory,L23E,L2pyramidalneuron
10742,40422812151,3231328,1513616,74709,1826.8074843493785,2411.980137075493,74.709,726.8648245898711,2,inhibitory,L23I,L2neuroninterneuron
